date,long sleeve,culottes,miniskirt,short sleeves,printed,short cardigan,solid colours,trapeze dress,sleeveless,long cardigan,sheath dress,short coat,medium coat,doll dress,long dress,shorts,long coat,tracksuit,drop sleeve,patterned,kimono dress,medium cardigan,shirt dress,maxi,capris,gitana skirt,long duster,yellow,brown,blue,grey,green,black,red,white,orange,violet,acrylic,scuba crepe,tulle,angora,faux leather,georgette,lurex,nice,crepe,satin cotton,silky satin,fur,matte jersey,plisse,velvet,lace,cotton,piquet,plush,bengaline,jacquard,frise,technical,cady,dark jeans,light jeans,ity,plumetis,polyviscous,dainetto,webbing,foam rubber,chanel,marocain,macrame,embossed,heavy jeans,nylon,tencel,paillettes,chambree,chine crepe,muslin cotton or silk,linen,tactel,viscose twill,cloth,mohair,mutton,scottish,milano stitch,devore,hron,ottoman,fluid,flamed,fluid polyviscous,shiny jersey,goose
2015-10-05,55.0,41.0,66.0,58.0,58.0,22.0,24.0,43.0,66.0,74.0,42.0,44.0,10.0,73.0,70.0,38.0,36.0,30.0,11.0,75.0,25.0,0.0,78.6,63.0,37.0,0.0,24.0,83,66,77,18,79,25,61,77,70,56,57,18,81,65,50,25,23,20,35,61,10,54,35,26,54,70,68,33,35,13,73,80,89,29,50,63,62,20,-1.0,0,55,46,73,81,54,56,55,86,36,18,0,20,-1.0,52,33,0,82,62,45,57,0,29,17,57,80,49,-1.0,0,34
2015-10-12,55.0,44.0,73.0,71.0,61.0,31.0,37.0,21.2,63.0,59.0,52.0,47.0,29.0,85.0,72.0,37.0,33.0,27.0,33.0,83.0,40.0,0.0,75.0,64.0,32.0,0.0,14.0,80,66,95,18,76,26,62,77,71,57,58,0,86,63,52,31,21,18,37,37,59,58,70,38,54,68,69,23,38,27,76,76,89,26,56,66,72,30,-1.0,0,54,72,72,80,56,74,32,85,39,12,0,27,-1.0,55,48,0,82,66,43,54,0,17,14,61,80,41,-1.0,0,39
2015-10-19,60.0,42.0,73.0,62.0,61.0,43.0,37.0,27.4,47.0,71.0,37.0,46.0,29.0,100.0,79.0,36.0,39.0,31.0,55.0,71.0,39.0,0.0,68.8,66.0,23.0,0.0,34.0,83,66,92,18,76,27,62,77,67,58,59,0,81,70,52,27,19,18,43,30,29,59,52,33,53,100,68,26,38,17,86,62,81,27,59,66,63,30,-1.0,0,57,43,69,83,48,66,23,86,32,14,30,47,-1.0,54,35,48,81,63,46,55,0,21,23,63,79,52,-1.0,33,41
2015-10-26,57.0,44.0,68.0,51.0,55.0,19.0,37.0,59.8,54.0,64.0,38.0,43.0,43.0,96.0,74.0,36.0,42.0,31.0,22.0,73.0,42.0,17.0,71.8,65.0,23.0,0.0,43.0,82,67,70,17,74,28,62,76,69,52,62,17,95,70,60,32,20,17,44,24,39,63,35,33,54,73,68,30,39,13,73,76,83,33,66,53,72,30,-1.0,0,54,72,69,81,46,63,46,85,38,16,0,27,-1.0,56,29,0,84,61,44,55,0,26,14,58,76,33,-1.0,32,37
2015-11-02,49.0,39.0,66.0,39.0,63.0,16.0,37.0,44.0,51.0,67.0,49.0,46.0,0.0,59.0,70.0,34.0,35.0,32.0,22.0,71.0,37.0,34.0,64.2,67.0,21.0,0.0,34.0,76,66,69,17,77,32,60,77,70,56,57,0,66,66,55,33,19,18,35,55,39,63,0,36,58,66,72,27,39,10,78,78,83,32,53,56,72,25,-1.0,0,66,64,69,91,48,55,47,85,34,20,0,27,-1.0,61,33,0,85,61,46,55,0,18,18,60,80,37,-1.0,98,38
2015-11-09,53.0,39.0,78.0,46.0,60.0,40.0,12.0,49.6,54.0,59.0,52.0,46.0,39.0,70.0,72.0,35.0,39.0,31.0,44.0,77.0,36.0,50.0,69.0,65.0,26.0,0.0,14.0,74,64,68,17,76,34,60,76,66,54,58,0,74,63,53,28,23,17,36,24,58,64,35,19,57,67,69,27,43,33,83,75,78,29,62,71,79,25,-1.0,0,55,43,71,79,48,64,46,79,36,16,30,13,-1.0,59,43,48,82,71,47,54,0,21,20,62,80,33,-1.0,0,37
2015-11-16,59.0,45.0,80.0,58.0,62.0,22.0,12.0,38.4,49.0,66.0,46.0,33.0,29.0,55.0,75.0,35.0,43.0,34.0,22.0,73.0,57.0,0.0,69.0,64.0,26.0,0.0,29.0,75,67,70,17,77,37,60,79,71,51,56,0,67,61,53,27,23,18,35,36,67,68,34,37,57,67,65,33,50,16,88,71,83,28,51,71,71,25,-1.0,0,56,74,70,81,48,64,23,83,33,15,30,46,-1.0,53,45,0,84,75,44,53,0,24,18,67,79,44,-1.0,32,42
2015-11-23,60.0,45.0,63.0,38.0,59.0,25.0,12.0,23.4,58.0,64.0,61.0,68.0,43.0,70.0,74.0,37.0,53.0,43.0,44.0,74.0,48.0,17.0,68.6,72.0,27.0,0.0,38.0,74,74,70,20,90,76,60,80,71,58,57,0,62,72,70,27,28,18,38,36,39,80,35,32,60,68,70,30,55,13,95,80,71,27,70,68,72,20,-1.0,0,61,46,78,81,53,67,23,83,33,27,60,27,-1.0,57,50,0,84,83,47,56,0,22,18,68,81,30,-1.0,0,55
2015-11-30,67.0,50.0,80.0,69.0,67.0,21.0,24.0,66.0,66.0,63.0,47.0,62.0,28.0,70.0,79.0,38.0,50.0,46.0,33.0,83.0,27.0,0.0,75.6,73.0,29.0,0.0,47.0,72,69,71,20,74,30,61,84,70,62,59,0,79,62,55,22,41,18,36,12,19,78,17,38,67,72,77,27,71,16,85,77,81,27,86,59,70,10,-1.0,0,60,56,84,79,44,79,54,84,32,25,30,33,-1.0,56,41,0,85,77,41,57,0,22,15,68,80,55,-1.0,0,48
2015-12-07,64.0,50.0,68.0,47.0,60.0,37.0,37.0,50.0,56.0,63.0,59.0,54.0,38.0,65.0,72.0,40.0,44.0,48.0,33.0,71.0,34.0,17.0,77.4,70.0,28.0,0.0,62.0,74,71,72,18,72,27,62,82,71,53,61,0,74,70,54,25,33,18,34,30,78,78,52,33,67,68,77,29,62,27,88,77,76,28,64,64,62,5,-1.0,0,43,45,88,80,43,80,31,85,25,32,30,27,-1.0,54,60,48,87,73,39,56,0,22,20,62,79,37,-1.0,0,42
2015-12-14,60.0,41.0,66.0,39.0,61.0,38.0,12.0,22.4,64.0,53.0,40.0,61.0,34.0,77.0,68.0,37.0,41.0,46.0,0.0,70.0,33.0,34.0,64.6,71.0,28.0,0.0,59.0,74,74,73,18,74,28,63,85,71,56,67,0,70,74,55,26,22,19,34,50,40,80,36,33,68,70,72,27,61,10,91,71,78,25,55,68,71,26,-1.0,0,53,56,90,81,46,73,48,82,24,29,0,21,-1.0,55,62,49,83,68,36,52,0,21,13,61,74,69,-1.0,0,44
2015-12-21,48.0,42.0,56.0,27.0,50.0,17.0,14.0,30.2,57.0,58.0,30.0,53.0,48.0,77.0,57.0,35.0,46.0,41.0,37.0,47.0,28.0,19.0,62.8,75.0,28.0,0.0,38.0,77,76,72,19,76,28,65,86,69,53,64,0,58,72,45,25,24,18,35,14,55,73,59,33,68,64,66,24,57,4,83,73,59,19,65,66,73,6,-1.0,0,34,62,96,90,45,62,9,82,34,33,0,46,-1.0,53,37,55,84,82,52,51,0,21,19,56,69,59,-1.0,0,54
